expid,peakid,year,season,route1,totmembers,smtmembers,smtdate,success,termreason,highpoint,o2used,commercial,camps,style
ANN175101,ANN1,1975,Spring,SE Ridge,9,0,1975-04-05,False,5,6250.0,False,False,3.0,
YALU75101,YALU,1975,Spring,S Face,11,9,1975-05-09,True,1,8505.0,True,False,4.0,
NUPT75101,NUPT,1975,Spring,Central Ridge of S Face,22,0,1975-05-09,False,6,7200.0,False,False,8.0,
MANA75101,MANA,1975,Spring,NE Face,12,2,1975-04-26,True,1,8163.0,True,True,5.0,
LHOT75101,LHOT,1975,Spring,S Ridge-W Ridge,15,0,1975-05-06,False,5,7500.0,False,False,3.0,
PUMO75101,PUMO,1975,Spring,SW Ridge,7,3,1975-04-30,True,1,7138.0,False,False,3.0,
CHRW75101,CHRW,1975,Spring,W Ridge-W Smt,10,2,1975-05-13,True,1,7371.0,False,False,5.0,
HIME75101,HIME,1975,Spring,SW Face,8,0,1975-05-03,False,4,6750.0,False,False,3.0,
PK2975101,PK29,1975,Spring,E Ridge,13,0,1975-04-30,False,4,7200.0,False,False,4.0,
DHA575101,DHA5,1975,Spring,S Ridge,15,1,1975-05-01,True,1,7618.0,False,False,4.0,
BAUD75101,BAUD,1975,Spring,E Face,6,0,1975-04-13,False,4,6315.0,False,False,3.0,
DHA275101,DHA2,1975,Spring,E Ridge,8,0,1975-05-16,False,10,7300.0,False,False,3.0,
DHA475101,DHA4,1975,Spring,Junction Pk-W Ridge from SW,16,2,1975-05-09,True,1,7661.0,False,False,7.0,
MAK274301,MAK2,1974,Autumn,S Ridge,9,0,1974-10-11,False,6,7200.0,False,False,4.0,
DHA175101,DHA1,1975,Spring,S Ridge,17,0,1975-04-19,False,10,6200.0,False,False,3.0,
MAKA74301,MAKA,1974,Autumn,S Face,9,0,1974-10-18,False,4,7800.0,False,False,,
LHOT74301,LHOT,1974,Autumn,W Face,16,0,1974-12-25,False,4,8250.0,True,False,4.0,
EVER74301,EVER,1974,Autumn,Lho La-W Ridge,10,0,1974-09-09,False,6,6900.0,False,False,,
LAMJ74301,LAMJ,1974,Autumn,E Ridge,6,4,1974-10-20,True,1,6983.0,False,False,4.0,
HIME74301,HIME,1974,Autumn,E Ridge-NE Face,16,0,1974-10-23,False,4,7050.0,False,False,5.0,
PUMO74301,PUMO,1974,Autumn,W Face,11,2,1974-10-13,True,1,7138.0,False,False,3.0,
KANB74301,KANB,1974,Autumn,NW Face,17,9,1974-09-29,True,1,7902.0,False,False,5.0,
MAKA74101,MAKA,1974,Spring,S Face,10,0,1974-05-09,False,4,7500.0,False,False,3.0,
ANN274101,ANN2,1974,Spring,W Ridge,8,0,1974-04-26,False,14,7370.0,False,False,5.0,
HIME74101,HIME,1974,Spring,NE Face,11,0,1974-05-07,False,6,7450.0,False,False,6.0,
KANB74101,KANB,1974,Spring,NW Face,15,5,1974-05-26,True,1,7902.0,True,False,6.0,
ANNE74101,ANNE,1974,Spring,N Ridge,9,3,1974-04-29,True,1,8026.0,False,False,5.0,
EVER75101,EVER,1975,Spring,S Col-SE Ridge,22,1,1975-05-16,True,1,8849.0,True,True,6.0,
TUKU74101,TUKU,1974,Spring,N Ridge,4,4,1974-04-21,True,1,6920.0,False,False,2.0,
CHRW74101,CHRW,1974,Spring,W Ridge,6,0,1974-05-14,False,7,6830.0,False,False,4.0,
MANA74101,MANA,1974,Spring,E Ridge (to 6000m),12,3,1974-05-04,False,1,8163.0,True,True,5.0,
YALU74101,YALU,1974,Spring,SE Ridge,12,0,1974-05-14,False,4,8400.0,False,False,5.0,
ANNS74101,ANNS,1974,Spring,SW Ridge-S Face,8,0,1974-04-26,False,10,6000.0,False,False,3.0,
GANG74101,GANG,1974,Spring,E Ridge from S,11,2,1974-05-13,True,1,7455.0,False,False,4.0,
PK2974101,PK29,1974,Spring,SW Face,19,0,1974-04-17,False,10,5800.0,False,False,4.0,
JANU74101,JANU,1974,Spring,S Ridge,9,2,1974-05-18,True,1,7711.0,False,False,6.0,
KJRS74101,KJRS,1974,Spring,S Face-E Ridge,7,6,1974-04-27,True,1,6883.0,False,False,4.0,
